L1,L2,L3,L4,R1,R2,R3,R4,R5
BMP6,,,,BMPR1A,BMPR2,,,
BMP6,,,,BMPR1B,ACVR2A,,,
BMP6,,,,BMPR1B,ACVR2B,,,
BMP6,,,,BMPR1B,BMPR2,,,
BMP7,,,,ACVR1,ACVR2A,,,
BMP7,,,,ACVR1,ACVR2B,,,
BMP7,,,,ACVR1,BMPR2,,,
BMP7,,,,BMPR1A,ACVR2A,,,
BMP7,,,,BMPR1A,ACVR2B,,,
BMP7,,,,BMPR1A,BMPR2,,,
BMP7,,,,BMPR1B,ACVR2A,,,
BMP7,,,,BMPR1B,ACVR2B,,,
BMP7,,,,BMPR1B,BMPR2,,,
BMP8A,,,,ACVR1,ACVR2A,,,
BMP8A,,,,ACVR1,ACVR2B,,,
BMP8A,,,,ACVR1,BMPR2,,,
BMP8A,,,,BMPR1A,ACVR2A,,,
BMP8A,,,,BMPR1A,ACVR2B,,,
BMP8A,,,,BMPR1A,BMPR2,,,
BMP8A,,,,BMPR1B,ACVR2A,,,
BMP8A,,,,BMPR1B,ACVR2B,,,
BMP8A,,,,BMPR1B,BMPR2,,,
BMP8B,,,,ACVR1,ACVR2A,,,
BMP8B,,,,ACVR1,ACVR2B,,,
BMP8B,,,,ACVR1,BMPR2,,,
BMP8B,,,,BMPR1A,ACVR2A,,,
BMP8B,,,,BMPR1A,ACVR2B,,,
BMP8B,,,,BMPR1A,BMPR2,,,
BMP8B,,,,BMPR1B,ACVR2A,,,
BMP8B,,,,BMPR1B,ACVR2B,,,
BMP8B,,,,BMPR1B,BMPR2,,,
BMP10,,,,ACVRL1,BMPR2,,,
BMP10,,,,ACVRL1,ACVR2A,,,
GDF2,,,,ACVRL1,BMPR2,,,
GDF2,,,,ACVRL1,ACVR2A,,,
GDF9,,,,ACVR1B,BMPR2,,,
GDF10,,,,ACVR1B,ACVR2A,,,
GDF11,,,,TGFBR1,ACVR2A,,,
GDF11,,,,TGFBR1,ACVR2B,,,
GDF11,,,,ACVR1B,ACVR2B,,,
GDF15,,,,TGFBR2,,,,
MSTN,,,,TGFBR1,ACVR2B,,,
MSTN,,,,ACVR1B,ACVR2B,,,
MSTN,,,,ACVR1B,ACVR2A,,,
MSTN,,,,TGFBR1,ACVR2A,,,
AMH,,,,AMHR2,ACVR1,,,
AMH,,,,AMHR2,BMPR1A,,,
NRTN,,,,GFRA2,,,,
ARTN,,,,GFRA3,,,,
ARTN,,,,GFRA1,,,,
GDF1,,,,ACVR1B,ACVR2A,,,
GDF1,,,,ACVR1B,ACVR2B,,,
GDF1,,,,ACVR1C,ACVR2A,,,
GDF1,,,,ACVR1C,ACVR2B,,,
GDF3,,,,ACVR1B,ACVR2A,,,
GDF3,,,,ACVR1B,ACVR2B,,,
GDF3,,,,ACVR1C,ACVR2A,,,
GDF3,,,,ACVR1C,ACVR2B,,,
INHBA,,,,ACVR1B,ACVR2A,,,
INHBA,,,,ACVR1B,ACVR2B,,,
INHBB,,,,ACVR1B,ACVR2A,,,
INHBB,,,,ACVR1B,ACVR2B,,,
INHBB,,,,ACVR1C,ACVR2A,,,
INHBB,,,,ACVR1C,ACVR2B,,,
INHBC,,,,ACVR1B,ACVR2A,,,
INHBC,,,,ACVR1B,ACVR2B,,,
INHBC,,,,ACVR1C,ACVR2A,,,
INHBC,,,,ACVR1C,ACVR2B,,,
INHBE,,,,ACVR1B,ACVR2A,,,
INHBE,,,,ACVR1B,ACVR2B,,,
INHBE,,,,ACVR1C,ACVR2A,,,
INHBE,,,,ACVR1C,ACVR2B,,,
INHBABB,,,,ACVR1B,ACVR2A,,,
INHBABB,,,,ACVR1B,ACVR2B,,,
INHBABB,,,,ACVR1C,ACVR2A,,,
INHB,,,,ACVR1C,ACVR2B,,,
INHABA,,,,ACVR2A,,,,
INHABB,,,,ACVR2B,,,,
WNT1,,,,FZD1,LRP5,,,
WNT1,,,,FZD10,LRP5,,,
WNT1,,,,FZD2,LRP5,,,
WNT1,,,,FZD3,LRP5,,,
WNT1,,,,FZD4,LRP5,,,
WNT1,,,,FZD5,LRP5,,,
WNT1,,,,FZD6,LRP5,,,
WNT1,,,,FZD7,LRP5,,,
WNT1,,,,FZD8,LRP5,,,
WNT1,,,,FZD9,LRP5,,,
WNT10A,,,,FZD1,LRP5,,,
WNT10A,,,,FZD10,LRP5,,,
WNT10A,,,,FZD2,LRP5,,,
WNT10A,,,,FZD3,LRP5,,,
WNT10A,,,,FZD4,LRP5,,,
WNT10A,,,,FZD5,LRP5,,,
WNT10A,,,,FZD6,LRP5,,,
WNT10A,,,,FZD7,LRP5,,,
WNT10A,,,,FZD8,LRP5,,,
WNT10A,,,,FZD9,LRP5,,,
WNT10B,,,,FZD1,LRP5,,,
WNT10B,,,,FZD10,LRP5,,,
WNT10B,,,,FZD2,LRP5,,,
WNT10B,,,,FZD3,LRP5,,,
WNT10B,,,,FZD4,LRP5,,,
WNT10B,,,,FZD5,LRP5,,,
WNT10B,,,,FZD6,LRP5,,,
WNT10B,,,,FZD7,LRP5,,,
WNT10B,,,,FZD8,LRP5,,,
WNT10B,,,,FZD9,LRP5,,,
WNT16,,,,FZD1,LRP5,,,
WNT16,,,,FZD10,LRP5,,,
WNT16,,,,FZD2,LRP5,,,
WNT16,,,,FZD3,LRP5,,,
WNT16,,,,FZD4,LRP5,,,
WNT16,,,,FZD5,LRP5,,,
WNT16,,,,FZD6,LRP5,,,
WNT16,,,,FZD7,LRP5,,,
WNT16,,,,FZD8,LRP5,,,
WNT16,,,,FZD9,LRP5,,,
WNT2,,,,FZD1,LRP5,,,
WNT2,,,,FZD10,LRP5,,,
WNT2,,,,FZD2,LRP5,,,
WNT2,,,,FZD3,LRP5,,,
WNT2,,,,FZD4,LRP5,,,
WNT2,,,,FZD5,LRP5,,,
WNT2,,,,FZD6,LRP5,,,
WNT2,,,,FZD7,LRP5,,,
WNT2,,,,FZD8,LRP5,,,
WNT2,,,,FZD9,LRP5,,,
WNT2B,,,,FZD1,LRP5,,,
WNT2B,,,,FZD10,LRP5,,,
WNT2B,,,,FZD2,LRP5,,,
WNT2B,,,,FZD3,LRP5,,,
WNT2B,,,,FZD4,LRP5,,,
WNT2B,,,,FZD5,LRP5,,,
WNT2B,,,,FZD6,LRP5,,,
WNT2B,,,,FZD7,LRP5,,,
WNT2B,,,,FZD8,LRP5,,,
WNT2B,,,,FZD9,LRP5,,,
WNT3,,,,FZD1,LRP5,,,
WNT3,,,,FZD10,LRP5,,,
WNT3,,,,FZD2,LRP5,,,
WNT3,,,,FZD3,LRP5,,,
WNT3,,,,FZD4,LRP5,,,
WNT3,,,,FZD5,LRP5,,,
WNT3,,,,FZD6,LRP5,,,
WNT3,,,,FZD7,LRP5,,,
WNT3,,,,FZD8,LRP5,,,
WNT3,,,,FZD9,LRP5,,,
WNT3A,,,,FZD1,LRP5,,,
WNT3A,,,,FZD10,LRP5,,,
WNT3A,,,,FZD2,LRP5,,,
WNT3A,,,,FZD3,LRP5,,,
WNT3A,,,,FZD4,LRP5,,,
WNT3A,,,,FZD5,LRP5,,,
WNT3A,,,,FZD6,LRP5,,,
WNT3A,,,,FZD7,LRP5,,,
WNT3A,,,,FZD8,LRP5,,,
WNT3A,,,,FZD9,LRP5,,,
WNT4,,,,FZD1,LRP5,,,
WNT4,,,,FZD10,LRP5,,,
WNT4,,,,FZD2,LRP5,,,
WNT4,,,,FZD3,LRP5,,,
WNT4,,,,FZD4,LRP5,,,
WNT4,,,,FZD5,LRP5,,,
WNT4,,,,FZD6,LRP5,,,
WNT4,,,,FZD7,LRP5,,,
WNT4,,,,FZD8,LRP5,,,
WNT4,,,,FZD9,LRP5,,,
WNT6,,,,FZD1,LRP5,,,
WNT6,,,,FZD10,LRP5,,,
WNT6,,,,FZD2,LRP5,,,
WNT6,,,,FZD4,LRP5,,,
WNT6,,,,FZD5,LRP5,,,
WNT6,,,,FZD6,LRP5,,,
WNT6,,,,FZD7,LRP5,,,
WNT6,,,,FZD8,LRP5,,,
WNT6,,,,FZD9,LRP5,,,
WNT7A,,,,FZD1,LRP5,,,
WNT7A,,,,FZD10,LRP5,,,
WNT7A,,,,FZD2,LRP5,,,
WNT7A,,,,FZD3,LRP5,,,
WNT7A,,,,FZD4,LRP5,,,
WNT7A,,,,FZD5,LRP5,,,
WNT7A,,,,FZD6,LRP5,,,
WNT7A,,,,FZD7,LRP5,,,
WNT7A,,,,FZD8,LRP5,,,
WNT7A,,,,FZD9,LRP5,,,
WNT7B,,,,FZD1,LRP5,,,
WNT7B,,,,FZD10,LRP5,,,
WNT7B,,,,FZD2,LRP5,,,
WNT7B,,,,FZD3,LRP5,,,
WNT7B,,,,FZD4,LRP5,,,
WNT7B,,,,FZD5,LRP5,,,
WNT7B,,,,FZD6,LRP5,,,
WNT7B,,,,FZD7,LRP5,,,
WNT7B,,,,FZD8,LRP5,,,
WNT7B,,,,FZD9,LRP5,,,
WNT8A,,,,FZD1,LRP5,,,
WNT8A,,,,FZD10,LRP5,,,
WNT8A,,,,FZD2,LRP5,,,
WNT8A,,,,FZD3,LRP5,,,
WNT8A,,,,FZD4,LRP5,,,
WNT8A,,,,FZD5,LRP5,,,
WNT8A,,,,FZD6,LRP5,,,
WNT8A,,,,FZD7,LRP5,,,
WNT8A,,,,FZD8,LRP5,,,
WNT8A,,,,FZD9,LRP5,,,
WNT8B,,,,FZD1,LRP5,,,
WNT8B,,,,FZD10,LRP5,,,
WNT8B,,,,FZD2,LRP5,,,
WNT8B,,,,FZD3,LRP5,,,
WNT8B,,,,FZD4,LRP5,,,
WNT8B,,,,FZD5,LRP5,,,
WNT8B,,,,FZD6,LRP5,,,
WNT8B,,,,FZD7,LRP5,,,
WNT8B,,,,FZD8,LRP5,,,
WNT8B,,,,FZD9,LRP5,,,
WNT9A,,,,FZD1,LRP5,,,
WNT9A,,,,FZD10,LRP5,,,
WNT9A,,,,FZD2,LRP5,,,
WNT9A,,,,FZD3,LRP5,,,
WNT9A,,,,FZD4,LRP5,,,
WNT9A,,,,FZD5,LRP5,,,
WNT9A,,,,FZD6,LRP5,,,
WNT9A,,,,FZD7,LRP5,,,
WNT9A,,,,FZD8,LRP5,,,
WNT9A,,,,FZD9,LRP5,,,
WNT9B,,,,FZD1,LRP5,,,
WNT9B,,,,FZD10,LRP5,,,
WNT9B,,,,FZD2,LRP5,,,
WNT9B,,,,FZD3,LRP5,,,
WNT9B,,,,FZD4,LRP5,,,
WNT9B,,,,FZD5,LRP5,,,
WNT9B,,,,FZD6,LRP5,,,
WNT9B,,,,FZD7,LRP5,,,
WNT9B,,,,FZD8,LRP5,,,
WNT9B,,,,FZD9,LRP5,,,
WNT1,,,,FZD1,LRP6,,,
WNT1,,,,FZD10,LRP6,,,
WNT1,,,,FZD2,LRP6,,,
WNT1,,,,FZD3,LRP6,,,
WNT1,,,,FZD4,LRP6,,,
WNT1,,,,FZD5,LRP6,,,
WNT1,,,,FZD6,LRP6,,,
WNT1,,,,FZD7,LRP6,,,
WNT1,,,,FZD8,LRP6,,,
WNT1,,,,FZD9,LRP6,,,
WNT10A,,,,FZD1,LRP6,,,
WNT10A,,,,FZD10,LRP6,,,
WNT10A,,,,FZD2,LRP6,,,
WNT10A,,,,FZD3,LRP6,,,
WNT10A,,,,FZD4,LRP6,,,
WNT10A,,,,FZD5,LRP6,,,
WNT10A,,,,FZD6,LRP6,,,
WNT10A,,,,FZD7,LRP6,,,
WNT10A,,,,FZD8,LRP6,,,
WNT10A,,,,FZD9,LRP6,,,
WNT10B,,,,FZD1,LRP6,,,
WNT10B,,,,FZD10,LRP6,,,
WNT10B,,,,FZD2,LRP6,,,
WNT10B,,,,FZD3,LRP6,,,
WNT10B,,,,FZD4,LRP6,,,
WNT10B,,,,FZD5,LRP6,,,
WNT10B,,,,FZD6,LRP6,,,
WNT10B,,,,FZD7,LRP6,,,
WNT10B,,,,FZD8,LRP6,,,
WNT10B,,,,FZD9,LRP6,,,
WNT16,,,,FZD1,LRP6,,,
WNT16,,,,FZD10,LRP6,,,
WNT16,,,,FZD2,LRP6,,,
WNT16,,,,FZD3,LRP6,,,
WNT16,,,,FZD4,LRP6,,,
WNT16,,,,FZD5,LRP6,,,
WNT16,,,,FZD6,LRP6,,,
WNT16,,,,FZD7,LRP6,,,
WNT16,,,,FZD8,LRP6,,,
WNT16,,,,FZD9,LRP6,,,
WNT2,,,,FZD1,LRP6,,,
WNT2,,,,FZD10,LRP6,,,
WNT2,,,,FZD2,LRP6,,,
WNT2,,,,FZD3,LRP6,,,
WNT2,,,,FZD4,LRP6,,,
WNT2,,,,FZD5,LRP6,,,
WNT2,,,,FZD6,LRP6,,,
WNT2,,,,FZD7,LRP6,,,
WNT2,,,,FZD8,LRP6,,,
WNT2,,,,FZD9,LRP6,,,
WNT2B,,,,FZD1,LRP6,,,
WNT2B,,,,FZD10,LRP6,,,
WNT2B,,,,FZD2,LRP6,,,
WNT2B,,,,FZD3,LRP6,,,
WNT2B,,,,FZD4,LRP6,,,
WNT2B,,,,FZD5,LRP6,,,
WNT2B,,,,FZD6,LRP6,,,
WNT2B,,,,FZD7,LRP6,,,
WNT2B,,,,FZD8,LRP6,,,
WNT2B,,,,FZD9,LRP6,,,
WNT3,,,,FZD1,LRP6,,,
WNT3,,,,FZD10,LRP6,,,
WNT3,,,,FZD2,LRP6,,,
WNT3,,,,FZD3,LRP6,,,
WNT3,,,,FZD4,LRP6,,,
WNT3,,,,FZD5,LRP6,,,
WNT3,,,,FZD6,LRP6,,,
WNT3,,,,FZD7,LRP6,,,
WNT3,,,,FZD8,LRP6,,,
WNT3,,,,FZD9,LRP6,,,
WNT3A,,,,FZD1,LRP6,,,
WNT3A,,,,FZD10,LRP6,,,
WNT3A,,,,FZD2,LRP6,,,
WNT3A,,,,FZD3,LRP6,,,
WNT3A,,,,FZD4,LRP6,,,
WNT3A,,,,FZD5,LRP6,,,
WNT3A,,,,FZD6,LRP6,,,
WNT3A,,,,FZD7,LRP6,,,
WNT3A,,,,FZD8,LRP6,,,
WNT3A,,,,FZD9,LRP6,,,
WNT4,,,,FZD1,LRP6,,,
WNT4,,,,FZD10,LRP6,,,
WNT4,,,,FZD2,LRP6,,,
WNT4,,,,FZD3,LRP6,,,
WNT4,,,,FZD4,LRP6,,,
WNT4,,,,FZD5,LRP6,,,
WNT4,,,,FZD6,LRP6,,,
WNT4,,,,FZD7,LRP6,,,
WNT4,,,,FZD8,LRP6,,,
WNT4,,,,FZD9,LRP6,,,
WNT6,,,,FZD1,LRP6,,,
WNT6,,,,FZD10,LRP6,,,
WNT6,,,,FZD2,LRP6,,,
WNT6,,,,FZD4,LRP6,,,
WNT6,,,,FZD5,LRP6,,,
WNT6,,,,FZD6,LRP6,,,
WNT6,,,,FZD7,LRP6,,,
WNT6,,,,FZD8,LRP6,,,
WNT6,,,,FZD9,LRP6,,,
WNT7A,,,,FZD1,LRP6,,,
WNT7A,,,,FZD10,LRP6,,,
WNT7A,,,,FZD2,LRP6,,,
WNT7A,,,,FZD3,LRP6,,,
WNT7A,,,,FZD4,LRP6,,,
WNT7A,,,,FZD5,LRP6,,,
WNT7A,,,,FZD6,LRP6,,,
WNT7A,,,,FZD7,LRP6,,,
WNT7A,,,,FZD8,LRP6,,,
WNT7A,,,,FZD9,LRP6,,,
WNT7B,,,,FZD1,LRP6,,,
WNT7B,,,,FZD10,LRP6,,,
WNT7B,,,,FZD2,LRP6,,,
WNT7B,,,,FZD3,LRP6,,,
WNT7B,,,,FZD4,LRP6,,,
WNT7B,,,,FZD5,LRP6,,,
WNT7B,,,,FZD6,LRP6,,,
WNT7B,,,,FZD7,LRP6,,,
WNT7B,,,,FZD8,LRP6,,,
WNT7B,,,,FZD9,LRP6,,,
WNT8A,,,,FZD1,LRP6,,,
WNT8A,,,,FZD10,LRP6,,,
WNT8A,,,,FZD2,LRP6,,,
WNT8A,,,,FZD3,LRP6,,,
WNT8A,,,,FZD4,LRP6,,,
WNT8A,,,,FZD5,LRP6,,,
WNT8A,,,,FZD6,LRP6,,,
WNT8A,,,,FZD7,LRP6,,,
WNT8A,,,,FZD8,LRP6,,,
WNT8A,,,,FZD9,LRP6,,,
WNT8B,,,,FZD1,LRP6,,,
WNT8B,,,,FZD10,LRP6,,,
WNT8B,,,,FZD2,LRP6,,,
WNT8B,,,,FZD3,LRP6,,,
WNT8B,,,,FZD4,LRP6,,,
WNT8B,,,,FZD5,LRP6,,,
WNT8B,,,,FZD6,LRP6,,,
WNT8B,,,,FZD7,LRP6,,,
WNT8B,,,,FZD8,LRP6,,,
WNT8B,,,,FZD9,LRP6,,,
WNT9A,,,,FZD1,LRP6,,,
WNT9A,,,,FZD10,LRP6,,,
WNT9A,,,,FZD2,LRP6,,,
WNT9A,,,,FZD3,LRP6,,,
WNT9A,,,,FZD4,LRP6,,,
WNT9A,,,,FZD5,LRP6,,,
WNT9A,,,,FZD6,LRP6,,,
WNT9A,,,,FZD7,LRP6,,,
WNT9A,,,,FZD8,LRP6,,,
WNT9A,,,,FZD9,LRP6,,,
WNT9B,,,,FZD1,LRP6,,,
WNT9B,,,,FZD10,LRP6,,,
WNT9B,,,,FZD2,LRP6,,,
WNT9B,,,,FZD3,LRP6,,,
WNT9B,,,,FZD4,LRP6,,,
WNT9B,,,,FZD5,LRP6,,,
WNT9B,,,,FZD6,LRP6,,,
WNT9B,,,,FZD7,LRP6,,,
WNT9B,,,,FZD8,LRP6,,,
WNT9B,,,,FZD9,LRP6,,,
WNT5A,,,,FZD1,,,,
WNT5A,,,,FZD10,,,,
WNT5A,,,,FZD2,,,,
WNT5A,,,,FZD3,,,,
WNT5A,,,,FZD4,,,,
WNT5A,,,,FZD5,,,,
WNT5A,,,,FZD6,,,,
WNT5A,,,,FZD7,,,,
WNT5A,,,,FZD8,,,,
WNT5A,,,,FZD9,,,,
WNT5A,,,,MCAM,,,,
WNT5B,,,,FZD1,,,,
WNT5B,,,,FZD10,,,,
WNT5B,,,,FZD2,,,,
WNT5B,,,,FZD3,,,,
WNT5B,,,,FZD4,,,,
WNT5B,,,,FZD5,,,,
WNT5B,,,,FZD6,,,,
WNT5B,,,,FZD7,,,,
WNT5B,,,,FZD8,,,,
WNT5B,,,,FZD9,,,,
WNT11,,,,FZD1,,,,
WNT11,,,,FZD10,,,,
WNT11,,,,FZD2,,,,
WNT11,,,,FZD3,,,,
WNT11,,,,FZD4,,,,
WNT11,,,,FZD5,,,,
WNT11,,,,FZD6,,,,
WNT11,,,,FZD7,,,,
WNT11,,,,FZD8,,,,
WNT11,,,,FZD9,,,,
EGF,,,,EGFR,,,,
EGF,,,,EGFR,ERBB2,,,
TGFA,,,,EGFR,,,,
TGFA,,,,EGFR,ERBB2,,,
AREG,,,,EGFR,,,,
AREG,,,,EGFR,ERBB2,,,
BTC,,,,EGFR,,,,
BTC,,,,EGFR,ERBB2,,,
BTC,,,,ERBB4,,,,
BTC,,,,ERBB2,ERBB4,,,
HBEGF,,,,EGFR,,,,
HBEGF,,,,EGFR,ERBB2,,,
HBEGF,,,,ERBB4,,,,
HBEGF,,,,ERBB2,ERBB4,,,
EREG,,,,EGFR,,,,
EREG,,,,EGFR,ERBB2,,,
EREG,,,,ERBB4,,,,
EREG,,,,ERBB2,ERBB4,,,
NRG1,,,,ERBB3,,,,
NRG1,,,,ERBB2,ERBB3,,,
NRG1,,,,ERBB4,,,,
NRG1,,,,ERBB2,ERBB4,,,
NRG2,,,,ERBB3,,,,
NRG2,,,,ERBB2,ERBB3,,,
NRG2,,,,ERBB4,,,,
NRG2,,,,ERBB2,ERBB4,,,
NRG3,,,,ERBB4,,,,
NRG3,,,,ERBB2,ERBB4,,,
NRG4,,,,ERBB4,,,,
NRG4,,,,ERBB2,ERBB4,,,
NRG1,,,,ITGAV,ITGB3,,,
FGF1,,,,FGFR1,,,,
FGF1,,,,FGFR2,,,,
FGF1,,,,FGFR3,,,,
FGF1,,,,FGFR4,,,,
FGF2,,,,FGFR1,,,,
FGF2,,,,FGFR2,,,,
FGF2,,,,FGFR3,,,,
FGF2,,,,FGFR4,,,,
FGF4,,,,FGFR1,,,,
FGF4,,,,FGFR2,,,,
FGF4,,,,FGFR3,,,,
FGF4,,,,FGFR4,,,,
FGF5,,,,FGFR1,,,,
FGF5,,,,FGFR2,,,,
FGF5,,,,FGFR3,,,,
FGF5,,,,FGFR4,,,,
FGF6,,,,FGFR1,,,,
FGF6,,,,FGFR2,,,,
FGF6,,,,FGFR3,,,,
FGF6,,,,FGFR4,,,,
FGF7,,,,FGFR1,,,,
FGF7,,,,FGFR2,,,,
FGF3,,,,FGFR1,,,,
FGF3,,,,FGFR2,,,,
FGF10,,,,FGFR1,,,,
FGF10,,,,FGFR2,,,,
FGF22,,,,FGFR2,,,,
FGF8,,,,FGFR1,,,,
FGF8,,,,FGFR2,,,,
FGF8,,,,FGFR3,,,,
FGF8,,,,FGFR4,,,,
FGF17,,,,FGFR1,,,,
FGF17,,,,FGFR2,,,,
FGF17,,,,FGFR3,,,,
FGF18,,,,FGFR1,,,,
FGF18,,,,FGFR2,,,,
FGF18,,,,FGFR3,,,,
FGF9,,,,FGFR1,,,,
FGF9,,,,FGFR2,,,,
FGF9,,,,FGFR3,,,,
FGF9,,,,FGFR4,,,,
FGF20,,,,FGFR1,,,,
FGF20,,,,FGFR2,,,,
FGF20,,,,FGFR3,,,,
FGF20,,,,FGFR4,,,,
FGF16,,,,FGFR1,,,,
FGF16,,,,FGFR2,,,,
FGF16,,,,FGFR3,,,,
FGF15,,,,FGFR1,,,,
FGF15,,,,FGFR2,,,,
FGF15,,,,FGFR3,,,,
FGF21,,,,FGFR1,,,,
FGF21,,,,FGFR3,,,,
FGF23,,,,FGFR1,,,,
FGF23,,,,FGFR3,,,,
FGF23,,,,FGFR4,,,,
PDGFA,,,,PDGFRA,,,,
PDGFA,,,,PDGFRB,,,,
PDGFB,,,,PDGFRA,,,,
PDGFB,,,,PDGFRB,,,,
PDGFC,,,,PDGFRA,,,,
PDGFD,,,,PDGFRB,,,,
VEGFA,,,,VEGFR1,,,,
VEGFA,,,,VEGFR2,,,,
VEGFC,,,,VEGFR3,,,,
VEGFC,,,,VEGFR2,,,,
PGF,,,,VEGFR1,,,,
VEGFA,,,,VEGFR1R2,,,,
VEGFC,,,,VEGFR2R3,,,,
IGF1,,,,IGF1R,,,,
IGF2,,,,IGF1R,,,,
IGF2,,,,IGF2R,,,,
IGF1,,,,ITGAV,ITGB3,,,
IGF1,,,,ITGA6,ITGB4,,,
IGF2,,,,ITGAV,ITGB3,,,
IGF2,,,,ITGA6,ITGB4,,,
INS,,,,INSSR,,,,
APLN,,,,APLNR,,,,
DHH,,,,PTCH1,,,,
IHH,,,,PTCH1,,,,
SHH,,,,PTCH1,,,,
DHH,,,,PTCH2,,,,
IHH,,,,PTCH2,,,,
SHH,,,,PTCH2,,,,
CCL5,,,,CCR1,,,,
CCL3,,,,CCR1,,,,
CCL3L1,,,,CCR1,,,,
CCL3L3,,,,CCR1,,,,
CCL8,,,,CCR1,,,,
CCL7,,,,CCR1,,,,
CCL13,,,,CCR1,,,,
CCL14,,,,CCR1,,,,
CCL15,,,,CCR1,,,,
CCL16,,,,CCR1,,,,
CCL23,,,,CCR1,,,,
CCL8,,,,CCR2,,,,
CCL7,,,,CCR2,,,,
CCL2,,,,CCR2,,,,
CCL27,,,,CCR2,,,,
CCL5,,,,CCR3,,,,
CCL7,,,,CCR3,,,,
CCL24,,,,CCR3,,,,
CCL26,,,,CCR3,,,,
CCL28,,,,CCR3,,,,
CCL17,,,,CCR4,,,,
CCL22,,,,CCR4,,,,
CCL5,,,,CCR4,,,,
CCL5,,,,CCR5,,,,
CCL3,,,,CCR5,,,,
CCL20,,,,CCR6,,,,
CCL19,,,,CCR7,,,,
CCL21,,,,CCR7,,,,
CCL19,,,,ACKR4,,,,
CCL1,,,,CCR8,,,,
CCL28,,,,CCR10,,,,
CCL1,,,,ACKR4,,,,
CCL8,,,,ACKR4,,,,
CCL1,,,,ACKR1,,,,
CCL2,,,,ACKR1,,,,
CCL5,,,,ACKR1,,,,
CCL8,,,,ACKR1,,,,
CCL13,,,,ACKR1,,,,
CCL14,,,,ACKR1,,,,
CCL16,,,,ACKR1,,,,
CCL18,,,,ACKR1,,,,
CXCL1,,,,ACKR1,,,,
CXCL2,,,,ACKR1,,,,
CXCL3,,,,ACKR1,,,,
CXCL5,,,,ACKR1,,,,
CXCL6,,,,ACKR1,,,,
CXCL8,,,,ACKR1,,,,
CXCL9,,,,ACKR1,,,,
CXCL10,,,,ACKR1,,,,
CXCL11,,,,ACKR1,,,,
CXCL13,,,,ACKR1,,,,
CCL2,,,,ACKR2,,,,
CCL3,,,,ACKR2,,,,
CCL3L1,,,,ACKR2,,,,
CCL4,,,,ACKR2,,,,
CCL5,,,,ACKR2,,,,
CCL7,,,,ACKR2,,,,
CCL8,,,,ACKR2,,,,
CCL7,,,,ACKR1,,,,
CCL11,,,,ACKR1,,,,
CCL11,,,,ACKR2,,,,
CCL13,,,,ACKR2,,,,
CCL22,,,,ACKR2,,,,
CCL24,,,,ACKR2,,,,
CCL26,,,,ACKR2,,,,
CCL17,,,,ACKR1,,,,
CCL14,,,,ACKR2,,,,
CCL17,,,,ACKR2,,,,
CXCL1,,,,CXCR1,,,,
CXCL2,,,,CXCR1,,,,
CXCL5,,,,CXCR1,,,,
CXCL8,,,,CXCR1,,,,
